CustomerID,Recency,Frequency,Monetary,AvgPurchaseValue
12346,326,1,77183.6,77183.6
12347,2,7,4310.0,615.7142857142857
12348,75,4,1797.24,449.31
12349,19,1,1757.55,1757.55
12350,310,1,334.4,334.4
12352,36,8,2506.04,313.255
12353,204,1,89.0,89.0
12354,232,1,1079.4,1079.4
12355,214,1,459.4,459.4
12356,23,3,2811.43,937.1433333333333
12357,33,1,6207.67,6207.67
12358,2,2,1168.06,584.03
12359,58,4,6372.58,1593.145
12360,52,3,2662.06,887.3533333333334
12361,287,1,189.9,189.9
12362,3,10,5226.23,522.6229999999999
12363,110,2,552.0,276.0
12364,8,4,1313.1,328.275
12365,291,2,641.38,320.69
12367,4,1,168.9,168.9
12370,51,4,3545.69,886.4225
12371,45,2,1887.96,943.98
12372,72,3,1298.04,432.68
12373,311,1,364.6,364.6
12374,25,1,742.9300000000001,742.9300000000001
12375,11,2,457.5,228.75
12377,315,2,1628.12,814.06
12378,130,1,4008.62,4008.62
12379,82,2,852.24,426.12
12380,22,4,2724.81,681.2025
12381,5,5,1845.31,369.062
12383,185,5,1850.56,370.11199999999997
12384,29,2,585.27,292.635
12386,338,2,401.9,200.95
12388,16,6,2780.66,463.4433333333333
12390,80,1,549.84,549.84
12391,22,1,460.89,460.89
12393,72,4,1582.6000000000001,395.65000000000003
12394,64,2,1272.48,636.24
12395,19,12,3018.63,251.5525
12397,36,2,2409.9,1204.95
12398,46,1,1635.6599999999999,1635.6599999999999
12399,119,4,1108.65,277.1625
12401,303,1,84.3,84.3
12402,323,1,225.6,225.6
12403,50,1,427.7,427.7
12405,149,1,1710.39,1710.39
12406,22,2,3415.3,1707.65
12407,50,5,1708.1200000000001,341.624
12408,33,5,2888.55,577.71
12409,79,3,11072.67,3690.89
12410,309,2,693.3299999999999,346.66499999999996
12412,75,3,1226.88,408.96000000000004
12413,67,3,758.1,252.70000000000002
12414,217,3,562.41,187.47
12415,24,21,124914.53,5948.310952380953
12417,3,9,3649.1,405.4555555555555
12418,113,1,668.58,668.58
12420,64,1,600.39,600.39
12421,16,4,807.04,201.76
12422,96,3,803.5600000000001,267.85333333333335
